subject_id	template_id	fixture	binding	evidence_id
b1.7.3:entity/009	spawn-materialization	painting-lifecycle	worldline.testkit.PaintingLifecycleFixture#execute	m177-painting
b1.7.3:entity/009	interaction-state	painting-lifecycle	worldline.testkit.PaintingLifecycleFixture#execute	m351-painting-orient-set
b1.7.3:entity/009	environment-response	painting-lifecycle	worldline.testkit.PaintingLifecycleFixture#execute	m582-painting-support-break-set
b1.7.3:entity/010	spawn-materialization	object-materialization	worldline.testkit.ObjectMaterializationFixture#execute	m157-bow-arrow
b1.7.3:entity/011	spawn-materialization	object-materialization	worldline.testkit.ObjectMaterializationFixture#execute	m161-snowball
b1.7.3:entity/020	spawn-materialization	object-materialization	worldline.testkit.ObjectMaterializationFixture#execute	m381-tnt-prime-set
b1.7.3:entity/021	spawn-materialization	object-materialization	worldline.testkit.ObjectMaterializationFixture#execute	m597-falling-sand-entity-set
b1.7.3:entity/040	spawn-materialization	object-materialization	worldline.testkit.ObjectMaterializationFixture#execute	m155-minecart-spawn
b1.7.3:entity/041	spawn-materialization	object-materialization	worldline.testkit.ObjectMaterializationFixture#execute	m154-boat-spawn
b1.7.3:entity/050	spawn-materialization	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m421-creeper-gunpowder-set
b1.7.3:entity/050	damage-death	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m421-creeper-gunpowder-set
b1.7.3:entity/050	drop-matrix	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m421-creeper-gunpowder-set
b1.7.3:entity/051	spawn-materialization	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m363-hostile-identity-set
b1.7.3:entity/051	damage-death	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m422-skeleton-bone-set
b1.7.3:entity/051	drop-matrix	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m422-skeleton-bone-set
b1.7.3:entity/052	spawn-materialization	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m409-spider-string-set
b1.7.3:entity/052	damage-death	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m409-spider-string-set
b1.7.3:entity/052	drop-matrix	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m409-spider-string-set
b1.7.3:entity/057	spawn-materialization	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m411-zombie-pigman-set
b1.7.3:entity/057	damage-death	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m411-zombie-pigman-set
b1.7.3:entity/057	drop-matrix	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m411-zombie-pigman-set
b1.7.3:entity/090	spawn-materialization	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m141-pig-spawner-observation
b1.7.3:entity/090	movement-policy	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m148-pig-ai-movement
b1.7.3:entity/090	damage-death	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m149-pig-death
b1.7.3:entity/090	drop-matrix	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m150-pig-pork-drop
b1.7.3:entity/091	spawn-materialization	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m406-sheep-dye-set
b1.7.3:entity/091	damage-death	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m444-remaining-mob-drops-rest
b1.7.3:entity/091	drop-matrix	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m444-remaining-mob-drops-rest
b1.7.3:entity/094	spawn-materialization	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m408-squid-ink-set
b1.7.3:entity/094	damage-death	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m408-squid-ink-set
b1.7.3:entity/094	drop-matrix	mob-lifecycle	worldline.testkit.EntityLifecycleFixture#execute	m408-squid-ink-set
