claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
locked-chest-state-domain	SINGULAR	b1.7.3:block/095	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-locked-chest-subsystem-conformance-cycle	eeab74a9f384d7557e7f38fa181fcfc8a7f579205a245f495f8ba16d89f81374	PUBLIC_TESTKIT
locked-chest-gameplay-placement	UNIVERSAL	b1.7.3:block/095	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-locked-chest-subsystem-conformance-cycle	eeab74a9f384d7557e7f38fa181fcfc8a7f579205a245f495f8ba16d89f81374	PUBLIC_TESTKIT
locked-chest-break-transition	UNIVERSAL	b1.7.3:block/095	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-locked-chest-subsystem-conformance-cycle	eeab74a9f384d7557e7f38fa181fcfc8a7f579205a245f495f8ba16d89f81374	PUBLIC_TESTKIT
locked-chest-drop-matrix	SINGULAR	b1.7.3:block/095	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-locked-chest-subsystem-conformance-cycle	eeab74a9f384d7557e7f38fa181fcfc8a7f579205a245f495f8ba16d89f81374	PUBLIC_TESTKIT
locked-chest-save-reload	UNIVERSAL	b1.7.3:block/095	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-locked-chest-subsystem-conformance-cycle	eeab74a9f384d7557e7f38fa181fcfc8a7f579205a245f495f8ba16d89f81374	PUBLIC_TESTKIT
locked-chest-collision-shape	SINGULAR	b1.7.3:block/095	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-locked-chest-subsystem-conformance-cycle	eeab74a9f384d7557e7f38fa181fcfc8a7f579205a245f495f8ba16d89f81374	PUBLIC_TESTKIT
locked-chest-light-behavior	SINGULAR	b1.7.3:block/095	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-locked-chest-subsystem-conformance-cycle	eeab74a9f384d7557e7f38fa181fcfc8a7f579205a245f495f8ba16d89f81374	PUBLIC_TESTKIT
locked-chest-tick-policy	SINGULAR	b1.7.3:block/095	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-locked-chest-subsystem-conformance-cycle	eeab74a9f384d7557e7f38fa181fcfc8a7f579205a245f495f8ba16d89f81374	PUBLIC_TESTKIT
locked-chest-neighbor-response	SINGULAR	b1.7.3:block/095	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-locked-chest-subsystem-conformance-cycle	eeab74a9f384d7557e7f38fa181fcfc8a7f579205a245f495f8ba16d89f81374	PUBLIC_TESTKIT
