claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
still-water-state-domain	ARCHETYPE	b1.7.3:block/009	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-source-fluid-physical-envelope-cycle	26284ff2a2903c093b4b65f1b625a1d369693393a7ee368cffa09e87e9bc94ba	PUBLIC_TESTKIT
still-water-collision-shape	ARCHETYPE	b1.7.3:block/009	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-source-fluid-physical-envelope-cycle	26284ff2a2903c093b4b65f1b625a1d369693393a7ee368cffa09e87e9bc94ba	PUBLIC_TESTKIT
still-water-light-behavior	ARCHETYPE	b1.7.3:block/009	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-source-fluid-physical-envelope-cycle	26284ff2a2903c093b4b65f1b625a1d369693393a7ee368cffa09e87e9bc94ba	PUBLIC_TESTKIT
still-lava-state-domain	ARCHETYPE	b1.7.3:block/011	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-source-fluid-physical-envelope-cycle	26284ff2a2903c093b4b65f1b625a1d369693393a7ee368cffa09e87e9bc94ba	PUBLIC_TESTKIT
still-lava-collision-shape	ARCHETYPE	b1.7.3:block/011	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-source-fluid-physical-envelope-cycle	26284ff2a2903c093b4b65f1b625a1d369693393a7ee368cffa09e87e9bc94ba	PUBLIC_TESTKIT
still-lava-light-behavior	ARCHETYPE	b1.7.3:block/011	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-source-fluid-physical-envelope-cycle	26284ff2a2903c093b4b65f1b625a1d369693393a7ee368cffa09e87e9bc94ba	PUBLIC_TESTKIT
