claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
wood-stairs-tick-policy	ARCHETYPE	b1.7.3:block/053	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
wood-stairs-neighbor-response	ARCHETYPE	b1.7.3:block/053	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
ladder-collision-shape	ARCHETYPE	b1.7.3:block/065	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
ladder-light-behavior	ARCHETYPE	b1.7.3:block/065	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
ladder-tick-policy	ARCHETYPE	b1.7.3:block/065	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
ladder-neighbor-response	ARCHETYPE	b1.7.3:block/065	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
cobblestone-stairs-collision-shape	ARCHETYPE	b1.7.3:block/067	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
cobblestone-stairs-light-behavior	ARCHETYPE	b1.7.3:block/067	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
cobblestone-stairs-tick-policy	ARCHETYPE	b1.7.3:block/067	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
cobblestone-stairs-neighbor-response	ARCHETYPE	b1.7.3:block/067	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
